id,male,age,education,party,dealdebt,tea
654,1,51,4,2,1,1
655,1,56,4,1,3,0
656,1,25,4,2,3,0
657,1,45,2,2,2,0
658,1,19,2,3,1,0
659,0,80,3,3,1,1
660,1,66,3,2,3,0
661,1,49,4,2,3,0
662,0,61,3,3,1,1
663,1,21,2,3,1,1
664,1,72,2,2,1,1
665,1,65,3,1,1,0
666,0,28,3,2,1,0
667,1,35,3,2,1,1
668,0,55,3,3,1,1
669,1,68,4,3,1,1
670,0,64,2,3,1,1
671,0,70,3,2,3,0
672,0,64,1,1,1,1
673,1,19,2,1,1,0
674,0,52,1,1,1,0
675,0,80,3,3,1,1
676,0,39,3,1,1,0
677,1,54,2,2,1,1
678,0,45,3,1,1,1
679,1,61,3,1,3,0
680,0,30,3,3,1,0
681,0,73,3,2,1,0
682,1,59,2,3,1,0
683,1,60,3,1,1,0
684,0,53,2,3,1,0
685,1,53,3,1,1,0
686,1,59,4,3,1,1
687,0,21,3,2,1,0
688,0,73,2,1,1,0
689,1,80,3,1,3,0
690,0,60,3,2,1,0
691,1,25,3,1,3,0
692,0,79,3,3,1,1
693,1,81,2,2,1,0
694,1,52,2,1,1,0
695,1,53,4,3,3,0
696,0,47,3,3,3,0
697,1,55,4,3,1,1
698,1,68,3,3,1,1
699,1,76,4,2,1,0
700,1,35,2,3,1,1
701,1,19,2,3,1,1
702,1,38,4,3,3,0
703,0,32,3,2,3,1
704,0,57,1,3,3,0
705,1,60,2,1,3,0
706,0,79,4,1,3,0
707,0,74,4,1,3,0
708,0,22,2,3,3,0
709,1,49,4,3,1,1
710,0,61,2,3,3,1
711,1,83,4,2,1,1
712,1,37,3,2,1,0
713,1,48,2,3,2,0
714,1,59,3,2,1,0
715,1,55,3,2,3,0
716,0,34,2,2,3,0
717,0,47,2,3,1,1
718,1,49,4,3,1,1
719,0,40,3,1,3,0
720,0,24,4,1,1,0
721,0,20,3,3,3,0
722,1,24,3,2,1,0
723,1,75,3,1,3,0
724,0,64,4,2,3,1
725,1,87,1,3,1,0
726,1,52,2,1,3,0
727,1,53,3,1,3,0
728,0,41,3,3,1,0
729,0,22,2,3,1,0
730,1,47,3,3,3,0
731,1,41,4,3,1,1
732,1,62,1,2,1,1
733,1,44,2,3,1,1
734,0,63,3,1,1,0
735,1,49,4,2,1,0
736,1,67,2,1,1,0
737,1,40,3,1,1,0
738,1,53,3,1,1,0
739,1,34,2,3,3,0
740,1,64,3,1,3,0
741,0,81,2,2,1,1
742,0,71,2,3,1,1
743,0,36,2,3,1,1
744,1,20,3,2,3,0
745,1,62,4,3,1,1
746,1,38,4,3,3,1
747,1,42,3,3,1,1
748,1,58,3,3,3,0
749,1,31,3,3,1,0
750,0,71,4,3,3,0
751,0,38,1,1,1,0
752,1,50,3,3,1,1
753,0,55,2,2,1,0
754,0,39,3,3,1,0
755,1,75,3,1,1,0
756,1,37,2,3,1,0
757,1,27,1,1,1,0
758,0,20,3,3,3,0
759,0,51,2,1,1,0
760,0,54,4,1,3,0
761,1,20,3,1,3,0
762,0,59,2,1,2,0
763,0,59,3,1,1,0
764,1,56,4,3,1,1
765,0,48,2,3,1,1
766,1,49,4,2,3,0
767,1,60,2,2,1,1
768,0,64,2,3,3,0
769,1,48,3,2,3,0
770,1,32,2,1,1,0
771,1,69,4,1,3,0
772,0,63,3,1,3,0
773,0,52,3,3,1,1
774,0,20,2,1,1,0
775,1,30,2,1,2,1
776,1,50,1,1,1,0
777,1,22,2,2,3,0
778,0,71,2,1,3,0
779,1,20,3,3,1,0
780,1,72,2,3,1,1
781,1,19,3,3,1,0
782,1,33,4,2,2,0
783,1,26,2,1,1,0
784,1,43,4,2,1,1
785,0,53,2,2,1,0
786,1,46,1,1,1,1
787,1,25,4,1,3,0
788,1,49,3,1,1,0
789,1,44,3,2,1,0
790,1,79,2,3,3,0
791,1,43,1,2,1,0
792,1,18,1,3,1,0
793,1,66,2,3,1,1
794,1,64,3,3,3,1
795,0,49,4,2,3,0
796,0,33,3,2,1,0
797,0,58,2,2,1,0
798,0,63,3,2,1,0
799,1,55,2,1,1,0
800,1,59,3,2,3,1
801,0,59,4,2,1,1
802,0,22,3,2,1,0
803,1,26,4,2,3,0
804,0,33,3,2,1,0
805,1,62,4,1,3,0
806,0,52,3,2,1,0
807,0,58,3,1,1,0
808,1,62,3,3,3,0
809,1,55,3,2,3,1
810,0,55,3,1,1,1
811,0,34,4,3,3,0
812,1,44,2,3,1,0
813,0,23,4,1,1,0
814,1,57,3,3,1,1
815,0,28,4,1,1,0
816,1,41,4,3,3,1
817,1,79,4,1,1,1
818,0,58,4,3,1,1
819,1,55,3,2,1,1
820,0,82,3,3,1,0
821,1,52,2,2,1,1
822,1,84,2,3,1,0
823,0,34,4,3,1,1
824,0,20,2,1,3,0
825,0,66,2,3,1,1
826,1,71,1,1,1,1
827,0,42,4,1,1,0
